iso3,median_d_mbps,mean_d_mbps_test_weighted,median_u_mbps,n_tiles,n_tests,n_devices,year,quarter
IND,38.4875,68.62546564117382,39.755,249790.0,10558175.0,2568927.0,2022,1
KEN,8.749,14.025960791203342,8.9,4569.0,96764.0,19854.0,2022,1
NGA,8.608,14.238865447266162,5.068,2663.0,25477.0,6326.0,2022,1
PHL,30.244,66.516576851681,29.576,91674.0,6616947.0,1396482.0,2022,1
THA,183.419,218.74601672062622,157.658,124363.0,2411991.0,722314.0,2022,1
VNM,52.93,75.15926410001354,50.352,117328.0,1948296.0,594741.0,2022,1
IND,37.577,68.85296546952272,41.426,237309.0,8833385.0,2319926.0,2022,2
KEN,8.068,13.314251086654952,9.049,4637.0,97317.0,20255.0,2022,2
NGA,8.294,13.000188189801015,5.464,2418.0,24826.0,5840.0,2022,2
PHL,35.688,73.92541799922155,36.2055,92090.0,5685757.0,1332454.0,2022,2
THA,184.99099999999999,219.26083526826773,160.5205,124870.0,2281042.0,710979.0,2022,2
VNM,53.623,78.73164699576905,51.267,110130.0,1762248.0,561161.0,2022,2
IND,37.667,70.6271327453967,41.788,233152.0,8710916.0,2212532.0,2022,3
KEN,8.0775,13.378188996845163,9.3445,4592.0,95409.0,19761.0,2022,3
NGA,8.354,14.607217418639053,5.748,2589.0,27040.0,6191.0,2022,3
PHL,43.326,87.09050626747165,44.064,90081.0,5789017.0,1285465.0,2022,3
THA,189.4475,222.50827374134792,165.59550000000002,117538.0,2149204.0,671429.0,2022,3
VNM,55.2,80.97830304393241,52.496,107319.0,1758679.0,539832.0,2022,3
IND,39.496,73.94120770634677,42.966,237027.0,8158003.0,2171312.0,2022,4
KEN,8.3345,14.203030529423591,9.575,4744.0,94499.0,20613.0,2022,4
NGA,8.646,15.56865334073663,5.84,2469.0,27015.0,5985.0,2022,4
PHL,54.088,96.19410261422024,54.702,83137.0,4625012.0,1141241.0,2022,4
THA,193.476,229.9641476097916,168.984,116615.0,2098499.0,666212.0,2022,4
VNM,61.008,88.73302387887729,57.655,112211.0,1886814.0,571122.0,2022,4
IND,41.518,78.09868227776148,44.643,235119.0,6681402.0,1921868.0,2023,1
KEN,8.572,15.060233332932418,9.682,4863.0,83143.0,20079.0,2023,1
NGA,12.395,31.070135234264086,8.524,2723.0,33808.0,6604.0,2023,1
PHL,63.667,113.87700848428635,62.062,81499.0,3894258.0,1019699.0,2023,1
THA,199.787,236.7952038829185,172.942,106035.0,1717162.0,573903.0,2023,1
VNM,68.8735,104.75123367687894,65.48949999999999,114828.0,1912992.0,601184.0,2023,1
IND,41.873,79.65341850255446,44.7595,236718.0,6323689.0,1841223.0,2023,2
KEN,8.4,15.229580102681673,9.673,5031.0,82001.0,20026.0,2023,2
NGA,15.0345,37.66306362513237,10.0565,3038.0,33996.0,6944.0,2023,2
PHL,64.923,117.52264888425005,59.54,86045.0,4094869.0,1045544.0,2023,2
THA,198.1215,238.3223939616202,172.787,105738.0,1577443.0,537754.0,2023,2
VNM,74.497,111.8358463956484,70.031,110147.0,1756044.0,553426.0,2023,2
IND,44.396,84.85923287794289,46.152,237559.0,6467783.0,1852627.0,2023,3
KEN,9.388,16.495340864664783,9.929,5543.0,96176.0,22768.0,2023,3
NGA,16.0465,34.68266536117082,9.759,3442.0,33959.0,7427.0,2023,3
PHL,67.237,120.91000112610436,60.332,90422.0,4144376.0,1081618.0,2023,3
THA,211.188,248.26967984808562,183.0725,106720.0,1737294.0,565046.0,2023,3
VNM,77.563,118.25741558693483,71.8125,110300.0,1881640.0,573352.0,2023,3
IND,46.271,88.93244662560394,47.374,239645.0,5844394.0,1768273.0,2023,4
KEN,9.32,15.998657906037964,9.787,5674.0,93144.0,23061.0,2023,4
NGA,17.689,36.63254982347628,9.389,3611.0,36539.0,7595.0,2023,4
PHL,66.28450000000001,123.79951471524117,58.070499999999996,91636.0,3868642.0,1048079.0,2023,4
THA,214.82549999999998,253.5392644274806,185.8635,110018.0,1813397.0,594753.0,2023,4
VNM,82.7465,123.25486515670873,76.08,110776.0,1910870.0,575621.0,2023,4
IND,48.146,91.53352491552731,48.718,241183.0,5829397.0,1684058.0,2024,1
KEN,9.952,16.988787115076267,10.742,5609.0,97292.0,23257.0,2024,1
NGA,18.7135,32.3005726935618,10.383,3410.0,31282.0,7199.0,2024,1
PHL,65.955,129.95615217414826,57.025,97809.0,4158755.0,1081999.0,2024,1
THA,226.387,261.97254824851916,196.1335,109042.0,1834305.0,593884.0,2024,1
VNM,84.513,126.39945887994456,78.44,118571.0,1956296.0,595964.0,2024,1
IND,52.3125,94.56594383781128,50.847,230772.0,4969963.0,1521625.0,2024,2
KEN,11.433499999999999,19.89661735690797,10.2315,6206.0,104915.0,25096.0,2024,2
NGA,22.399,35.468461900129704,11.043,3577.0,30840.0,7471.0,2024,2
PHL,70.82,137.54100048109154,61.674,97247.0,3693684.0,1014368.0,2024,2
THA,234.992,271.04078181022,201.595,109908.0,1790368.0,577339.0,2024,2
VNM,92.7585,139.74785696128413,86.3895,118456.0,2059778.0,611273.0,2024,2
IND,51.546,94.03169751555794,50.012,232927.0,4932214.0,1488262.0,2024,3
KEN,12.918,22.943841089769126,9.993,6777.0,115474.0,28145.0,2024,3
NGA,24.835,34.7335623879734,11.258,3930.0,34590.0,8332.0,2024,3
PHL,68.287,134.56322509134608,61.609,99477.0,3792718.0,1013628.0,2024,3
THA,243.92000000000002,279.97525074211524,209.48,105386.0,1707619.0,544680.0,2024,3
VNM,100.293,148.19188073257078,91.191,119690.0,2123044.0,631882.0,2024,3
IND,50.135,94.41342602569131,48.599,234187.0,4379534.0,1371977.0,2024,4
KEN,14.0515,27.391132745504837,11.086,6994.0,115680.0,28462.0,2024,4
NGA,25.7305,36.201097783658625,11.752500000000001,3642.0,30230.0,7753.0,2024,4
PHL,65.014,131.22563294434792,59.574,98253.0,3262162.0,928595.0,2024,4
THA,251.014,290.56414881642735,214.049,104990.0,1555460.0,516769.0,2024,4
VNM,126.948,170.44520961092783,112.135,126431.0,2397833.0,693933.0,2024,4
